"","date","pop","cruise","Qc_mean","data_day","estimate","std.error","p.value","Cfix_norm","Cfix_se","Cmax","Cmin","month","day","doy","year","salinity","temp","SiO4","NO3_NO2","PO4"
"145","2017-08-14","synecho","KM1712",0.313552567720742,7,0.00752531836133831,5.42422199897232e-05,0,0.0240001809458647,0.000172992427981112,0.0241731733738458,0.0238271885178836,8,2017-08-14,226,"2017",33.9424252774351,24.3704059737355,NA,NA,NA
"146","2017-08-14","picoeuk","KM1712",0.894478159332213,7,0.11025402460542,0.000517167390304611,0,0.123260722975877,0.000578177773161853,0.123838900749038,0.122682545202715,8,2017-08-14,226,"2017",33.9424252774351,24.3704059737355,NA,NA,NA
"147","2017-08-14","prochloro","KM1712",0.0338496166469409,7,0.00119253490778048,5.96986904111093e-06,0,0.0352303814905466,0.000176364450545423,0.035406745941092,0.0350540170400011,8,2017-08-14,226,"2017",33.9424252774351,24.3704059737355,NA,NA,NA
"148","2017-08-15","picoeuk","KM1712",0.718525729672484,7,0.0288738161879159,0.000730625377204359,4.64708530771289e-187,0.0401848047961722,0.00101683954663306,0.0412016443428052,0.0391679652495391,8,2017-08-15,227,"2017",34.0031269000585,24.3392538497167,NA,NA,NA
"149","2017-08-15","prochloro","KM1712",0.0343101182723195,7,0.00208747680838512,1.59517589035973e-05,0,0.0608414343493896,0.000464928706365514,0.0613063630557551,0.0603765056430241,8,2017-08-15,227,"2017",34.0031269000585,24.3392538497167,NA,NA,NA
"150","2017-08-15","synecho","KM1712",0.281560043301456,7,0.0192059566751007,0.000280841401873417,0,0.0682126499552266,0.000997447644134398,0.069210097599361,0.0672152023110923,8,2017-08-15,227,"2017",34.0031269000585,24.3392538497167,NA,NA,NA
"151","2017-08-17","picoeuk","KM1712",0.37400193966133,7,0.00989789734362707,0.000208576125205928,1.34093227940684e-196,0.0264648289059407,0.000557687282036024,0.0270225161879767,0.0259071416239047,8,2017-08-17,229,"2017",32.8172890358146,20.0373093784184,NA,NA,NA
"152","2017-08-17","synecho","KM1712",0.234652140967433,7,0.00271175873851334,0.000137482349323938,6.78924940743866e-66,0.011556505418332,0.00058589855075313,0.0121424039690851,0.0109706068675788,8,2017-08-17,229,"2017",32.8172890358146,20.0373093784184,NA,NA,NA
"153","2017-08-18","picoeuk","KM1712",0.363834406694822,7,0.00814503062824713,9.60616064634808e-05,6.09857977537029e-283,0.0223866420502639,0.000264025624558525,0.0226506676748225,0.0221226164257054,8,2017-08-18,230,"2017",32.7719968091271,20.0017715379653,NA,NA,NA
"154","2017-08-18","synecho","KM1712",0.25337811407605,7,0.00426984944241159,0.000124023961485236,2.1952273763514e-129,0.0168516900442712,0.000489481745246593,0.0173411717895178,0.0163622082990246,8,2017-08-18,230,"2017",32.7719968091271,20.0017715379653,NA,NA,NA
"155","2017-08-19","picoeuk","KM1712",0.358550812325313,7,0.00736716801564393,0.000124985488988528,1.18090892576078e-245,0.0205470682603271,0.00034858515081296,0.02089565341114,0.0201984831095141,8,2017-08-19,231,"2017",32.7746875919123,20.0879436485548,NA,NA,NA
"156","2017-08-20","picoeuk","KM1712",0.303152096183355,7,0.00396576147250481,0.000122108962925641,5.41304170133104e-130,0.0130817550742127,0.000402797686253789,0.0134845527604665,0.0126789573879589,8,2017-08-20,232,"2017",32.5740521697542,17.700095111093,0.161576320456655,6.22955283461242,0.768091846572894
"157","2017-08-20","synecho","KM1712",0.206861382241095,7,0.00341014954550121,0.000146287149168703,4.13103496215374e-84,0.0164851917189972,0.000707174764007943,0.0171923664830051,0.0157780169549892,8,2017-08-20,232,"2017",32.5740521697542,17.700095111093,0.161576320456655,6.22955283461242,0.768091846572894
"158","2017-08-21","synecho","KM1712",0.232738650487471,7,0.00238755471763347,7.58449139514174e-05,9.22749349948298e-133,0.0102585226503322,0.000325880182739568,0.0105844028330718,0.00993264246759265,8,2017-08-21,233,"2017",32.4789532304672,14.408283796104,0.205119304407642,9.60529340232375,1.01934433706238
"159","2017-08-21","picoeuk","KM1712",0.389039333091146,7,0.00879160771578322,0.00032527422414628,2.31143565930918e-108,0.0225982489891928,0.000836095984336044,0.0234343449735288,0.0217621530048567,8,2017-08-21,233,"2017",32.4789532304672,14.408283796104,0.205119304407642,9.60529340232375,1.01934433706238
"160","2017-08-22","synecho","KM1712",0.23984703398203,7,0.00216587855901061,8.27191439633701e-05,4.97718165953278e-100,0.00903024950132542,0.000344882913872379,0.0093751324151978,0.00868536658745304,8,2017-08-22,234,"2017",32.5525794335056,13.39017061053,NA,NA,NA
"161","2017-08-22","picoeuk","KM1712",0.442721745882283,7,0.00637705490671356,0.000244467759937844,1.60674973100914e-99,0.0144042052734612,0.000552192798776246,0.0149563980722375,0.013852012474685,8,2017-08-22,234,"2017",32.5525794335056,13.39017061053,NA,NA,NA
"162","2017-08-23","picoeuk","KM1712",0.478321022552371,7,0.00205234142976149,0.000405986291211676,6.03470095918745e-07,0.00429071969032426,0.000848773673055998,0.00513949336338026,0.00344194601726827,8,2017-08-23,235,"2017",32.5526506974823,13.2819495760867,NA,NA,NA
"163","2017-08-23","synecho","KM1712",0.249193281682588,7,0.000634770915281596,0.000120337747068467,1.97842195845239e-07,0.00254730348665716,0.00048290927530602,0.00303021276196318,0.00206439421135114,8,2017-08-23,235,"2017",32.5526506974823,13.2819495760867,NA,NA,NA
"164","2017-08-24","synecho","KM1712",0.281173431281587,7,0.00375528301964061,0.000104324810108198,2.56823069037678e-149,0.0133557534313397,0.000371033669976166,0.0137267871013159,0.0129847197613636,8,2017-08-24,236,"2017",32.5133628996576,13.626734589425,NA,NA,NA
"165","2017-08-24","picoeuk","KM1712",0.422566040582852,7,0.0115204512303034,0.000197747732968453,3.73880418949325e-243,0.0272630787235365,0.000467968823750476,0.0277310475472869,0.026795109899786,8,2017-08-24,236,"2017",32.5133628996576,13.626734589425,NA,NA,NA
"166","2017-08-26","picoeuk","KM1712",0.47846120937173,7,0.012240490045498,0.000335321553041765,8.35802747191806e-134,0.0255830353762034,0.00070083330993975,0.0262838686861432,0.0248822020662637,8,2017-08-26,238,"2017",32.4795645681794,13.6770462217973,NA,NA,NA
"167","2017-08-26","synecho","KM1712",0.300964591778337,7,0.0061283117364607,0.00010167442232596,8.01949124288758e-212,0.0203622349733893,0.000337828519046666,0.020700063492436,0.0200244064543427,8,2017-08-26,238,"2017",32.4795645681794,13.6770462217973,NA,NA,NA
"168","2017-08-27","synecho","KM1712",0.196586068232815,7,0.00538142654491223,0.00012202446879817,1.72816511770496e-186,0.0273744044696954,0.000620717784810961,0.0279951222545064,0.0267536866848844,8,2017-08-27,239,"2017",32.6351451401125,12.8250599081336,NA,NA,NA
"169","2017-08-27","picoeuk","KM1712",0.487105586949764,7,0.017481133490191,0.000313224950207459,4.69314285589848e-234,0.0358877704516943,0.000643032965745396,0.0365308034174397,0.0352447374859489,8,2017-08-27,239,"2017",32.6351451401125,12.8250599081336,NA,NA,NA
"170","2017-08-28","synecho","KM1712",0.321486582188594,7,0.0103648506377841,0.000672311953690606,5.26120097893177e-44,0.0322403833068956,0.0020912597630473,0.0343316430699429,0.0301491235438483,8,2017-08-28,240,"2017",32.5409499495115,13.9808403236469,0.208850794823781,10.3190524942777,1.04248302633704
"171","2017-08-29","synecho","KM1712",0.320325850071663,8,0.0122723795488412,0.000140661170043419,0,0.0383121735136133,0.000439119009633316,0.0387512925232466,0.03787305450398,8,2017-08-29,241,"2017",NA,14.3607125219298,NA,NA,NA
"172","2017-08-29","picoeuk","KM1712",0.298949165704973,8,0.0211620882087641,0.000264148918709518,0,0.0707882497643378,0.000883591422931754,0.0716718411872695,0.069904658341406,8,2017-08-29,241,"2017",NA,14.3607125219298,NA,NA,NA
