"","hour","lat","lon","cruise","pop","abundance","diam","Qc","biomass","SiO4","NO3_NO2","PO4","salinity","temp","par","Fe","PP","chl"
"1",2016-04-20 00:00:00,21.524,-158.327866666667,"Gradients 1","picoeuk",2.87565941436712,2.14603482777799,1.08034551216243,3.12645436825458,NA,NA,NA,34.6791284090909,25.7405465909091,1764.07613636364,NA,NA,NA
"2",2016-04-20 00:00:00,21.524,-158.327866666667,"Gradients 1","prochloro",261.913553960002,0.468168022476048,0.0211268694419464,5.53677187480503,NA,NA,NA,34.6791284090909,25.7405465909091,1764.07613636364,NA,NA,NA
"3",2016-04-20 00:00:00,21.524,-158.327866666667,"Gradients 1","synecho",1.64377884765108,0.785397760986067,0.0804835798913602,0.132864978945882,NA,NA,NA,34.6791284090909,25.7405465909091,1764.07613636364,NA,NA,NA
"4",2016-04-20 01:00:00,21.6658888888889,-158.323027777778,"Gradients 1","picoeuk",3.76969508116907,2.1648535646986,1.10217595410508,4.16972009266325,NA,NA,NA,34.7042862068966,25.6244655172414,1450.07931034483,NA,NA,NA
"5",2016-04-20 01:00:00,21.6658888888889,-158.323027777778,"Gradients 1","prochloro",271.136100447671,0.481217112746443,0.0226772023297307,6.15088731561641,NA,NA,NA,34.7042862068966,25.6244655172414,1450.07931034483,NA,NA,NA
"6",2016-04-20 01:00:00,21.6658888888889,-158.323027777778,"Gradients 1","synecho",2.88376320565639,0.842798711491108,0.0964945788341289,0.283290760076931,NA,NA,NA,34.7042862068966,25.6244655172414,1450.07931034483,NA,NA,NA
"7",2016-04-20 02:00:00,21.802385,-158.30565,"Gradients 1","picoeuk",4.2288368225475,2.22422094574828,1.18308024958662,4.96400483726706,NA,NA,NA,34.8026141414141,25.2149222222222,1035.93282828283,NA,NA,NA
"8",2016-04-20 02:00:00,21.802385,-158.30565,"Gradients 1","prochloro",271.230242190525,0.5030901519372,0.0254433431936567,6.90069331615779,NA,NA,NA,34.8026141414141,25.2149222222222,1035.93282828283,NA,NA,NA
"9",2016-04-20 02:00:00,21.802385,-158.30565,"Gradients 1","synecho",4.4895711588667,0.863219516845169,0.102430920413323,0.461545414620563,NA,NA,NA,34.8026141414141,25.2149222222222,1035.93282828283,NA,NA,NA
"10",2016-04-20 03:00:00,21.94321,-158.289675,"Gradients 1","synecho",3.25659393367289,0.870581233541931,0.104700872252975,0.341169443152991,NA,NA,NA,34.801735,24.78296,523.215,NA,NA,NA
"11",2016-04-20 03:00:00,21.94321,-158.289675,"Gradients 1","picoeuk",3.58675491250308,2.25742184261899,1.22900519203046,4.40571816308759,NA,NA,NA,34.801735,24.78296,523.215,NA,NA,NA
"12",2016-04-20 03:00:00,21.94321,-158.289675,"Gradients 1","prochloro",269.252355689853,0.530367658681173,0.0291549326352241,7.84201204030286,NA,NA,NA,34.801735,24.78296,523.215,NA,NA,NA
"13",2016-04-20 04:00:00,22.08163,-158.284815,"Gradients 1","picoeuk",3.4043442896193,2.34803165804431,1.35862952232771,4.61115848378451,NA,NA,NA,34.773085,24.775875,160.57475,NA,NA,NA
"14",2016-04-20 04:00:00,22.08163,-158.284815,"Gradients 1","prochloro",267.274964194316,0.529572656784473,0.0290373095800619,7.7529659762236,NA,NA,NA,34.773085,24.775875,160.57475,NA,NA,NA
"15",2016-04-20 04:00:00,22.08163,-158.284815,"Gradients 1","synecho",2.58160365824663,0.868602944710729,0.10407663030742,0.268744626322841,NA,NA,NA,34.773085,24.775875,160.57475,NA,NA,NA
"16",2016-04-20 05:00:00,22.2205947368421,-158.284431578947,"Gradients 1","prochloro",256.707715989505,0.532131037498945,0.0294047798441538,7.56098205324749,NA,NA,NA,34.7818210526316,24.8272789473684,4.30187368421053,NA,NA,NA
"17",2016-04-20 05:00:00,22.2205947368421,-158.284431578947,"Gradients 1","picoeuk",3.7078900268655,2.2529944123323,1.22403625930405,4.5379639255631,NA,NA,NA,34.7818210526316,24.8272789473684,4.30187368421053,NA,NA,NA
"18",2016-04-20 05:00:00,22.2205947368421,-158.284431578947,"Gradients 1","synecho",3.27488216866467,0.860048891686156,0.101457345748141,0.331481699838448,NA,NA,NA,34.7818210526316,24.8272789473684,4.30187368421053,NA,NA,NA
"19",2016-04-20 06:00:00,22.3521941176471,-158.2726,"Gradients 1","prochloro",247.243635275464,0.518061499745084,0.0274336530312142,6.78666517861426,NA,NA,NA,34.8174294117647,24.5726941176471,0.0218117647058824,NA,NA,NA
"20",2016-04-20 06:00:00,22.3521941176471,-158.2726,"Gradients 1","synecho",3.04101483214899,0.843850505702129,0.0966432001748506,0.297272484459859,NA,NA,NA,34.8174294117647,24.5726941176471,0.0218117647058824,NA,NA,NA
"21",2016-04-20 06:00:00,22.3521941176471,-158.2726,"Gradients 1","picoeuk",3.45332085493821,2.22370563027895,1.17993625309182,4.06977231301511,NA,NA,NA,34.8174294117647,24.5726941176471,0.0218117647058824,NA,NA,NA
"22",2016-04-20 07:00:00,22.499235,-158.251615,"Gradients 1","synecho",1.87088032185157,0.822866251348369,0.0906385763471448,0.168691438721345,NA,NA,NA,34.893785,24.351745,0.0193,NA,NA,NA
"23",2016-04-20 07:00:00,22.499235,-158.251615,"Gradients 1","picoeuk",3.35573832244859,2.12169404417107,1.0472195052862,3.50585049421089,NA,NA,NA,34.893785,24.351745,0.0193,NA,NA,NA
"24",2016-04-20 07:00:00,22.499235,-158.251615,"Gradients 1","prochloro",268.612651545301,0.495442902630647,0.0244708515565757,6.57325506775904,NA,NA,NA,34.893785,24.351745,0.0193,NA,NA,NA
